care_purpose,morbidity,etiology,major_clinical_category
,J153,K267,
,J154,K269,
,J155,K270,
,J156,K272,
,J157,K274,
,J158,K275,
,J159,K276,
,J160,K280,
,J168,K282,
,J170,K290,
,J171,K291,
,J173,K294,
,J178,K295,
,J180,K296,
,J181,K297,
,J182,K30,
,J188,K311,
,J189,K316,
,J200,K318,
,J201,K350,
,J202,K351,
,J203,K359,
,J204,K37,
,J207,K381,
,J208,K402,
,J209,K403,
,J218,K404,
,J219,K409,
,J300,K412,
,J301,K413,
,J303,K420,
,J304,K421,
,J311,K429,
,J320,K430,
,J324,K431,
,J329,K439,
,J330,K449,
,J36,K450,
,J380,K451,
,J381,K458,
,J398,K460,
,J40,K469,
,J410,K500,
,J411,K501,
,J418,K508,
,J42,K509,
,J430,K510,
,J431,K513,
,J432,K519,
,J438,K520,
,J439,K521,
,J440,K522,
,J441,K528,
,J448,K529,
,J449,K550,
,J450,K552,
,J451,K558,
,J458,K559,
,J459,K560,
,J46,K561,
,J47,K562,
,J61,K563,
,J628,K564,
,J64,K565,
,J680,K566,
,J683,K570,
,J690,K571,
,J698,K572,
,J702,K573,
,J703,K574,
,J704,K575,
,J709,K578,
,J80,K579,
,J81,K580,
,J840,K589,
,J841,K590,
,J848,K591,
,J849,K593,
,J851,K598,
,J852,K600,
,J853,K603,
,J860,K604,
,J869,K610,
,J90,K621,
,J91,K622,
,J920,K623,
,J930,K624,
,J931,K625,
,J938,K626,
,J939,K627,
,J940,K628,
,J942,K630,
,J948,K631,
,J951,K632,
,J952,K635,
,J953,K638,
,J954,K650,
,J958,K658,
,J960,K659,
,J961,K660,
,J961+0,K661,
,J961+1,K700,
,J969,K701,
,J980,K702,
,J981,K703,
,J984,K704,
,J985,K710,
,J986,K712,
,J9860,K716,
,J988,K717,
,J991,K720,
,K028,K721,
,K041,K729,
,K046,K732,
,K047,K741,
,K048,K742,
,K053,K743,
,K081,K745,
,K088,K746,
,K100,K750,
,K102,K752,
,K112,K760,
,K113,K768,
,K115,K770,
,K122,K800,
,K20,K801,
,K210,K802,
,K219,K803,
,K220,K804,
,K221,K805,
,K222,K808,
,K223,K810,
,K224,K811,
,K225,K818,
,K226,K819,
,K228,K820,
,K238,K821,
,K250,K823,
,K251,K824,
,K252,K828,
,K253,K830,
,K254,K831,
,K255,K832,
,K257,K835,
,K259,K838,
,K260,K850,
,K261,K851,
,K262,K852,
,K264,K858,
,K265,K859,
,K269,K860,
,K270,K861,
,K272,K862,
,K274,K863,
,K275,K868,
,K284,K8708,
,K290,K900,
,K291,K904,
,K292,K911,
,K293,K912,
,K295,K913,
,K296,K914,
,K297,K915,
,K298,K918,
,K299,K920,
,K311,K921,
,K315,K922,
,K350,K928,
,K351,K93828,
,K359,L022,
,K37,L024,
,K388,L028,
,K400,L029,
,K402,L030,
,K403,L031,
,K404,L059,
,K409,L080,
,K410,L088,
,K413,L089,
,K414,L102,
,K419,L120,
,K420,L14,
,K421,L208,
,K429,L209,
,K430,L270,
,K431,L303,
,K439,L308,
,K440,L400,
,K441,L405,
,K449,L409,
,K450,L500,
,K458,L508,
,K460,L509,
,K469,L52,
,K500,L539,
,K501,L599,
,K509,L702,
,K511,L720,
,K512,L88,
,K513,L89,
,K515,L900,
,K518,L905,
,K519,L908,
,K520,L910,
,K521,L930,
,K528,L958,
,K529,L959,
,K550,L97,
,K551,L984,
,K552,L986,
,K558,L988,
,K559,M000,
,K560,M0001,
,K561,M0003,
,K562,M0005,
,K563,M0006,
,K564,M008,
,K565,M0086,
,K566,M009,
,K567,M0095,
,K570,M0096,
,K571,M0097,
,K572,M0201,
,K573,M0296,
,K574,M050,
,K575,M0501,
,K578,M052,
,K579,M053,
,K580,M0530,
,K589,M0531,
,K590,M058,
,K591,M0580,
,K592,M059,
,K598,M0590,
,K599,M0591,
,K602,M0596,
,K603,M060,
,K604,M0600,
,K610,M0602,
,K611,M0607,
,K612,M064,
,K621,M0640,
,K622,M068,
,K623,M0680,
,K624,M0686,
,K625,M0689,
,K626,M069,
,K627,M0690,
,K628,M0691,
,K630,M0692,
,K631,M0693,
,K632,M0695,
,K633,M0696,
,K635,M0697,
,K638,M0699,
,K650,M0736,
,K658,M080,
,K659,M0807,
,K661,M0810,
,K668,M0815,
,K700,M0880,
,K701,M100,
,K702,M1000,
,K703,M1002,
,K704,M1006,
,K709,M1007,
,K710,M1009,
,K711,M103,
,K712,M1037,
,K716,M109,
,K720,M1097,
,K721,M1106,
,K729,M111,
,K743,M112,
,K744,M1126,
,K745,M1199,
,K746,M120,
,K750,M1202,
,K752,M122,
,K759,M1226,
,K760,M1257,
,K764,M128,
,K766,M1281,
,K767,M1309,
,K768,M131,
,K770,M1311,
,K800,M1315,
,K801,M1316,
,K802,M138,
,K803,M1386,
,K804,M1387,
,K805,M139,
,K808,M1396,
,K810,M145,
,K811,M146,
,K818,M148,
,K819,M150,
,K821,M151,
,K822,M153,
,K823,M154,
,K830,M158,
,K831,M159,
,K832,M160,
,K833,M161,
,K838,M162,
,K850,M163,
,K851,M164,
,K852,M165,
,K853,M166,
,K858,M167,
,K859,M169,
,K860,M170,
,K861,M171,
,K862,M172,
,K863,M173,
,K868,M174,
,K900,M175,
,K903,M179,
,K904,M180,
,K910,M181,
,K911,M189,
,K912,M190,
,K913,M1901,
,K914,M1905,
,K915,M1907,
,K918,M1908,
,K920,M191,
,K921,M1911,
,K922,M1914,
,K928,M1915,
,K9380,M1917,
,L011,M1918,
,L021,M192,
,L022,M1921,
,L023,M1922,
,L024,M1925,
,L028,M1927,
,L029,M198,
,L030,M1981,
,L031,M1985,
,L039,M1987,
,L080,M1988,
,L088,M1989,
,L089,M199,
,L109,M1991,
,L120,M1992,
,L208,M1994,
,L209,M1995,
,L211,M1997,
,L248,M1998,
,L270,M1999,
,L272,M200,
,L280,M201,
,L292,M202,
,L298,M203,
,L303,M204,
,L308,M205,
,L309,M206,
,L400,M210,
,L401,M2106,
,L408,M2107,
,L409,M211,
,L500,M2115,
,L509,M2116,
,L5129,M2117,
,L538,M2122,
,L539,M215,
,L581,M2157,
,L589,M216,
,L598,M2167,
,L720,M217,
,L83,M2175,
,L858,M2176,
,L89,M2177,
,L905,M218,
,L910,M2180,
,L930,M2185,
,L940,M2186,
,L948,M219,
,L958,M220,
,L97,M221,
,L982,M222,
,L984,M223,
,L986,M224,
,L988,M228,
,L998,M229,
,M000,M232,
,M0001,M2320,
,M0005,M2322,
,M0006,M2323,
,M0007,M2325,
,M0016,M2326,
,M008,M2329,
,M0082,M233,
,M0085,M2335,
,M0086,M2349,
,M009,M235,
,M0091,M2350,
,M0095,M2351,
,M0096,M2359,
,M0098,M236,
,M011,M2361,
,M013,M2362,
,M0133,M2369,
,M021,M238,
,M0286,M2381,
,M0326,M2382,
,M050,M2389,
,M052,M239,
,M0529,M2399,
,M0530,M2407,
,M0536,M2411,
,M0538,M2415,
,M058,M2416,
,M0580,M242,
,M059,M2421,
,M0590,M2427,
,M0598,M2431,
,M0609,M2432,
,M062,M2435,
,M064,M2436,
,M0640,M244,
,M0648,M2441,
,M068,M2445,
,M069,M245,
,M0690,M2452,
,M0694,M2455,
,M0699,M2456,
,M073,M2459,
,M0730,M246,
,M082,M2466,
,M083,M2467,
,M100,M2485,
,M1000,M250,
,M1003,M2506,
,M1006,M2516,
,M1007,M2520,
,M109,M253,
,M1090,M2531,
,M1094,M2532,
,M1099,M2535,
,M1113,M2536,
,M112,M2537,
,M1123,M254,
,M1126,M2546,
,M1129,M255,
,M1180,M2550,
,M119,M2551,
,M1192,M2555,
,M1196,M2556,
,M1246,M2557,
,M130,M2558,
,M1300,M2559,
,M1309,M256,
,M131,M2560,
,M1312,M2561,
,M1315,M2562,
,M1317,M2563,
,M138,M2564,
,M1380,M2566,
,M1384,M257,
,M1386,M2575,
,M1387,M2585,
,M139,M2588,
,M1393,M300,
,M1396,M301,
,M148,M313,
,M150,M315,
,M153,M316,
,M154,M317,
,M158,M318,
,M159,M319,
,M160,M321,
,M161,M329,
,M162,M331,
,M163,M332,
,M165,M340,
,M166,M341,
,M167,M348,
,M169,M349,
,M170,M350,
,M171,M352,
,M173,M353,
,M174,M359,
,M175,M362,
,M179,M400,
,M180,M4005,
,M181,M4006,
,M189,M401,
,M190,M402,
,M1904,M4024,
,M1907,M4025,
,M1908,M4027,
,M1909,M4040,
,M191,M410,
,M1912,M4103,
,M1915,M4104,
,M1917,M4105,
,M1921,M4106,
,M1925,M4107,
,M198,M411,
,M1981,M4110,
,M1985,M4115,
,M1987,M4116,
,M199,M412,
,M1991,M4120,
,M1997,M4125,
,M201,M4126,
,M202,M413,
,M203,M4133,
,M205,M4134,
,M206,M4136,
,M2106,M414,
,M211,M4145,
,M2116,M415,
,M2117,M4150,
,M2125,M4154,
,M215,M4155,
,M2157,M4156,
,M216,M418,
,M2167,M4180,
,M217,M4186,
,M218,M419,
,M2182,M4190,
,M2194,M4194,
,M220,M4195,
,M221,M4196,
,M222,M4197,
,M223,M420,
,M224,M4206,
,M228,M430,
,M229,M4306,
,M230,M4307,
,M231,M431,
,M232,M4310,
,M2321,M4311,
,M2322,M4312,
,M2323,M4313,
,M2326,M4314,
,M2329,M4315,
,M233,M4316,
,M2330,M4317,
,M2331,M432,
,M2336,M4362,
,M2339,M438,
,M235,M4386,
,M2351,M45,
,M236,M45+0,
,M2360,M45+9,
,M2361,M4624,
,M238,M463,
,M2389,M4635,
,M239,M4636,
,M2392,M4639,
,M2393,M465,
,M2399,M4650,
,M241,M4659,
,M242,M470,
,M2427,M4705,
,M2431,M4706,
,M2432,M471,
,M2433,M4711,
,M2435,M4712,
,M244,M4714,
,M2440,M4716,
,M2441,M472,
,M245,M4720,
,M2450,M4721,
,M2452,M4722,
,M2456,M4725,
,M2457,M4726,
,M2459,M4727,
,M246,M4728,
,M2460,M478,
,M2461,M4780,
,M2462,M4782,
,M2465,M4783,
,M2466,M4784,
,M2467,M4785,
,M2475,M4786,
,M250,M4787,
,M2501,M4788,
,M2502,M479,
,M2506,M4790,
,M252,M4792,
,M2536,M4795,
,M2537,M4796,
,M254,M4797,
,M2541,M480,
,M2546,M4800,
,M255,M4802,
,M2550,M4804,
,M2551,M4805,
,M2552,M4806,
,M2553,M4807,
,M2554,M4808,
,M2555,M4809,
,M2556,M481,
,M2557,M4812,
,M2558,M482,
,M2559,M4820,
,M256,M4822,
,M2560,M4826,
,M2561,M4829,
,M2562,M484,
,M2563,M4846,
,M2564,M485,
,M2565,M4850,
,M2566,M4854,
,M2567,M4855,
,M2577,M4856,
,M2578,M4857,
,M258,M4859,
,M300,M4886,
,M313,M4887,
,M315,M4889,
,M316,M4895,
,M319,M4904,
,M320,M4923,
,M321,M4926,
,M329,M495,
,M331,M4950,
,M332,M4952,
,M341,M4954,
,M349,M4955,
,M350,M498,
,M352,M500,
,M353,M501,
,M354,M502,
,M400,M508,
,M4004,M509,
,M401,M510,
,M4010,M511,
,M4014,M512,
,M4015,M513,
,M4019,M518,
,M402,M519,
,M4025,M531,
,M410,M5312,
,M4100,M532,
,M4104,M5321,
,M411,M5326,
,M4110,M5327,
,M4114,M5384,
,M4115,M5387,
,M4116,M541,
,M4119,M5412,
,M412,M5414,
,M4120,M5416,
,M4123,M5417,
,M4124,M542,
,M4125,M5420,
,M4126,M5422,
,M4127,M543,
,M413,M5430,
,M4130,M5436,
,M4134,M5437,
,M414,M5438,
,M4140,M5439,
,M4144,M544,
,M4145,M5440,
,M415,M5446,
,M4155,M5447,
,M4156,M545,
,M418,M5450,
,M4186,M5456,
,M4189,M5457,
,M419,M5458,
,M4193,M5459,
,M4199,M546,
,M420,M5464,
,M431,M5466,
,M4316,M5469,
,M4317,M5485,
,M438,M5489,
,M45,M549,
,M45+0,M6089,
,M45+5,M610,
,M45+9,M6122,
,M4622,M621,
,M463,M6211,
,M4634,M6215,
,M4636,M622,
,M464,M6225,
,M4644,M6227,
,M465,M6245,
,M4654,M625,
,M4656,M6250,
,M4657,M6255,
,M4659,M6256,
,M4684,M6258,
,M471,M628,
,M4712,M6280,
,M4716,M6282,
,M472,M6283,
,M4720,M6286,
,M4725,M62890,
,M4726,M62898,
,M4727,M6527,
,M478,M653,
,M4780,M658,
,M4782,M6584,
,M4784,M6587,
,M4785,M6593,
,M4786,M6597,
,M479,M660,
,M4790,M6611,
,M4794,M662,
,M4798,M6625,
,M480,M6626,
,M4800,M664,
,M4802,M6646,
,M4803,M665,
,M4804,M670,
,M4805,M674,
,M4806,M7032,
,M4807,M706,
,M482,M7105,
,M4822,M711,
,M4825,M7120,
,M4826,M7126,
,M484,M713,
,M4844,M7138,
,M4846,M7155,
,M4847,M720,
,M485,M7204,
,M4850,M722,
,M4853,M7266,
,M4854,M750,
,M4855,M751,
,M4856,M752,
,M4857,M753,
,M4859,M754,
,M489,M755,
,M490,M758,
,M4904,M759,
,M493,M760,
,M4932,M7600,
,M4936,M765,
,M495,M7650,
,M4950,M766,
,M4952,M7660,
,M4954,M7680,
,M4955,M779,
,M4956,M790,
,M4957,M7900,
,M4958,M7901,
,M4959,M7909,
,M501,M791,
,M502,M792,
,M509,M7923,
,M510,M7925,
,M511,M7938,
,M512,M7957,
,M513,M796,
,M518,M7961,
,M519,M7965,
,M531,M7966,
,M5310,M797,
,M5312,M800,
,M5319,M8000,
,M5326,M8002,
,M533,M8005,
,M538,M8008,
,M5390,M801,
,M5396,M8010,
,M541,M802,
,M5410,M8025,
,M5412,M8029,
,M5413,M804,
,M5414,M8040,
,M5416,M8045,
,M5417,M8046,
,M542,M8048,
,M5420,M805,
,M5422,M8050,
,M5423,M8055,
,M5429,M808,
,M543,M8085,
,M5430,M8086,
,M5436,M8088,
,M5437,M8089,
,M5439,M809,
,M544,M8090,
,M5440,M8095,
,M5446,M8096,
,M5447,M8098,
,M5449,M810,
,M545,M8100,
,M5450,M8103,
,M5456,M8106,
,M5457,M8107,
,M5458,M8108,
,M5459,M8109,
,M546,M8129,
,M5460,M814,
,M5464,M8140,
,M5465,M8149,
,M5466,M815,
,M5467,M8150,
,M5469,M8155,
,M548,M818,
,M5480,M8180,
,M5482,M8182,
,M5484,M8184,
,M5485,M8188,
,M5486,M819,
,M5487,M8190,
,M5488,M8192,
,M5489,M8194,
,M549,M8199,
,M5499,M8210,
,M600,M828,
,M608,M830,
,M6115,M8389,
,M6131,M840,
,M6132,M8401,
,M6135,M8402,
,M6215,M8403,
,M6216,M8405,
,M622,M8406,
,M623,M8407,
,M6232,M841,
,M6235,M8410,
,M624,M8411,
,M6240,M8412,
,M625,M8413,
,M6250,M8414,
,M6251,M8415,
,M6252,M8416,
,M6253,M8417,
,M6255,M8418,
,M6256,M842,
,M6257,M8425,
,M6258,M8426,
,M6259,M8429,
,M628,M844,
,M6280,M8442,
,M6285,M8445,
,M6288,M8446,
,M6289,M8447,
,M62890,M8448,
,M651,M8536,
,M6525,M8537,
,M653,M8538,
,M6534,M856,
,M6580,M8568,
,M6581,M8607,
,M6586,M8615,
,M6587,M8616,
,M6588,M8617,
,M6596,M8627,
,M6597,M8630,
,M660,M8635,
,M6606,M8647,
,M6614,M866,
,M662,M8665,
,M663,M8666,
,M664,M869,
,M6647,M8695,
,M665,M8696,
,M670,M8697,
,M671,M8698,
,M674,M870,
,M678,M8700,
,M700,M8701,
,M703,M8705,
,M7032,M8706,
,M705,M8707,
,M706,M871,
,M7065,M8715,
,M707,M872,
,M7103,M8721,
,M712,M8725,
,M7126,M8726,
,M713,M8727,
,M7157,M8728,
,M7158,M873,
,M720,M8730,
,M7204,M8731,
,M722,M8732,
,M7227,M8735,
,M726,M8738,
,M750,M878,
,M751,M8780,
,M752,M8781,
,M753,M8785,
,M754,M8786,
,M758,M879,
,M759,M8790,
,M760,M8791,
,M7605,M8792,
,M7615,M8795,
,M7650,M8796,
,M7656,M8800,
,M766,M888,
,M7660,M889,
,M7676,M8890,
,M768,M890,
,M7680,M8900,
,M7697,M8901,
,M771,M8903,
,M773,M8904,
,M774,M8905,
,M775,M8906,
,M778,M8907,
,M779,M8947,
,M7799,M8955,
,M790,M8957,
,M7900,M898,
,M7905,M8980,
,M7908,M8981,
,M7909,M900,
,M791,M9000,
,M7910,M9016,
,M7916,M9040,
,M7919,M9055,
,M792,M907,
,M7922,M9074,
,M7925,M9075,
,M7926,M9076,
,M793,M911,
,M796,M9110,
,M7960,M9115,
,M7961,M9180,
,M7962,M924,
,M7964,M925,
,M7965,M926,
,M7966,M928,
,M7967,M930,
,M7969,M932,
,M797,M938,
,M7981,M939,
,M7987,M9436,
,M800,M9486,
,M8000,M953,
,M8005,M954,
,M8008,M958,
,M8009,M960,
,M8015,M961,
,M8018,M964,
,M8028,M966,
,M804,M968,
,M8047,M9903,
,M8048,M992,
,M805,M9923,
,M8050,M993,
,M8058,M9930,
,M808,M9931,
,M8087,M9932,
,M8088,M9933,
,M809,M994,
,M8090,M9943,
,M8095,M995,
,M8096,M9950,
,M8098,M9951,
,M8100,M9952,
,M814,M9953,
,M8180,M996,
,M819,M997,
,M8190,M9973,
,M8198,M9983,
,M8208,M9986,
,M831,M9987,
,M8402,N0179,
,M8403,N028,
,M8404,N029,
,M8405,N049,
,M8406,N080,
,M8407,N083,
,M841,N084,
,M8411,N085,
,M8412,N10,
,M8415,N110,
,M8416,N111,
,M8417,N118,
,M8418,N119,
,M842,N12,
,M8420,N130,
,M8422,N131,
,M8426,N132,
,M8437,N133,
,M8445,N134,
,M8447,N135,
,M8448,N136,
,M8500,N137,
,M8508,N151,
,M8533,N158,
,M8535,N159,
,M8536,N170,
,M8537,N178,
,M8538,N179,
,M8547,N180,
,M856,N188,
,M8607,N189,
,M861,N19,
,M8613,N200,
,M8617,N201,
,M862,N202,
,M8637,N209,
,M864,N210,
,M866,N23,
,M8665,N251,
,M869,N259,
,M8695,N280,
,M8696,N281,
,M8697,N288,
,M8699,N298,
,M8700,N300,
,M8702,N301,
,M8706,N304,
,M8707,N308,
,M8715,N309,
,M8737,N310,
,M8738,N312,
,M8785,N318,
,M8786,N319,
,M879,N321,
,M8795,N322,
,M8796,N358,
,M8798,N359,
,M8800,N360,
,M889,N363,
,M8890,N378,
,M890,N390,
,M8900,N391,
,M8901,N393,
,M8902,N394,
,M8903,N398,
,M8904,N40,
,M8905,N410,
,M8906,N411,
,M8907,N412,
,M8908,N419,
,M8909,N430,
,M894,N432,
,M895,N433,
,M898,N450,
,M8980,N459,
,M901,N508,
,M9016,N61,
,M9044,N62,
,M9055,N641,
,M9058,N700,
,M9060,N701,
,M907,N709,
,M9075,N711,
,M911,N719,
,M925,N72,
,M930,N758,
,M938,N762,
,M939,N800,
,M9430,N801,
,M9486,N809,
,M953,N810,
,M954,N811,
,M958,N812,
,M960,N813,
,M961,N814,
,M966,N816,
,M968,N818,
,M9907,N819,
,M9923,N820,
,M993,N822,
,M9933,N823,
,M994,N824,
,M995,N832,
,M9950,N833,
,M9952,N835,
,M9953,N837,
,M9992,N838,
,N008,N841,
,N028,N850,
,N029,N851,
,N046,N852,
,N049,N858,
,N083,N898,
,N10,N921,
,N110,N938,
,N111,N939,
,N118,N998,
,N12,O349,
,N130,O670,
,N131,O682,
,N132,O720,
,N133,O743,
,N135,O993,
,N136,P002,
,N151,P041,
,N158,P043,
,N160,P044,
,N170,P059,
,N171,P070,
,N178,P071,
,N179,P072,
,N180,P073,
,N188,P111,
,N189,P143,
,N19,P209,
,N200,P210,
,N201,P219,
,N202,P271,
,N209,P280,
,N210,P350,
,N23,P351,
,N26,P371,
,N280,P523,
,N281,P529,
,N288,P578,
,N300,P910,
,N302,P912,
,N304,P916,
,N308,P919,
,N309,Q02,
,N310,Q038,
,N311,Q040,
,N312,Q043,
,N318,Q046,
,N319,Q049,
,N320,Q051,
,N321,Q052,
,N323,Q054,
,N324,Q056,
,N328,Q057,
,N340,Q058,
,N358,Q059,
,N359,Q064,
,N363,Q068,
,N368,Q070,
,N390,Q120,
,N393,Q150,
,N394,Q188,
,N398,Q204,
,N40,Q208,
,N410,Q209,
,N411,Q210,
,N413,Q211,
,N419,Q212,
,N428,Q213,
,N432,Q225,
,N433,Q230,
,N450,Q231,
,N459,Q232,
,N47,Q238,
,N484,Q248,
,N501,Q249,
,N508,Q251,
,N608,Q254,
,N61,Q256,
,N62,Q273,
,N641,Q278,
,N700,Q282,
,N701,Q283,
,N709,Q288,
,N732,Q311,
,N736,Q320,
,N738,Q324,
,N760,Q332,
,N800,Q334,
,N803,Q336,
,N809,Q391,
,N810,Q396,
,N811,Q398,
,N812,Q401,
,N813,Q418,
,N814,Q428,
,N815,Q429,
,N816,Q430,
,N818,Q431,
,N819,Q438,
,N820,Q513,
,N823,Q613,
,N824,Q614,
,N832,Q650,
,N835,Q651,
,N848,Q652,
,N850,Q654,
,N872,Q656,
,N921,Q658,
,N924,Q659,
,N938,Q660,
,N939,Q665,
,N950,Q667,
,N990,Q668,
,N991,Q682,
,N994,Q685,
,O249,Q688,
,O471,Q712,
,O902,Q720,
,O995,Q724,
,P219,Q726,
,P235,Q728,
,P271,Q729,
,P579,Q730,
,P922,Q738,
,P93,Q741,
,P942,Q742,
,Q000,Q743,
,Q02,Q748,
,Q049,Q755,
,Q057,Q758,
,Q059,Q762,
,Q120,Q763,
,Q203,Q764,
,Q204,Q768,
,Q210,Q780,
,Q211,Q782,
,Q246,Q786,
,Q249,Q796,
,Q251,Q798,
,Q282,Q822,
,Q300,Q828,
,Q320,Q850,
,Q374,Q851,
,Q391,Q860,
,Q401,Q870,
,Q411,Q871,
,Q419,Q872,
,Q423,Q873,
,Q428,Q874,
,Q432,Q878,
,Q438,Q893,
,Q621,Q897,
,Q639,Q901,
,Q650,Q909,
,Q651,Q913,
,Q662,Q928,
,Q668,Q929,
,Q710,Q933,
,Q712,Q935,
,Q713,Q969,
,Q716,Q998,
,Q718,Q999,
,Q722,S001,
,Q725,S010,
,Q742,S015,
,Q743,S018,
,Q777,S0200,
,Q780,S021,
,Q819,S0210,
,Q828,S022,
,Q858,S023,
,Q860,S0230,
,Q871,S0231,
,Q874,S024,
,Q897,S0240,
,Q901,S026,
,Q902,S0260,
,Q909,S027,
,Q928,S0271,
,Q999,S0280,
,R000,S048,
,R001,S056,
,R002,S058,
,R008,S060,
,R02,S0600,
,R030,S0601,
,R031,S061,
,R040,S0611,
,R042,S062,
,R048,S0620,
,R05,S063,
,R060,S0630,
,R063,S0631,
,R064,S064,
,R066,S065,
,R068,S0650,
,R070,S066,
,R071,S0660,
,R072,S067,
,R073,S0670,
,R074,S0671,
,R090,S068,
,R091,S0680,
,R092,S0681,
,R098,S069,
,R100,S0690,
,R101,S0691,
,R102,S070,
,R103,S098,
,R104,S120,
,R11,S121,
,R13,S1210,
,R14,S122,
,R15,S1220,
,R161,S127,
,R162,S1270,
,R17,S129,
,R18,S1290,
,R190,S131,
,R194,S134,
,R195,S140,
,R200,S141,
,R202,S142,
,R21,S143,
,R230,S197,
,R233,S200,
,R251,S202,
,R258,S207,
,R260,S211,
,R261,S217,
,R262,S220,
,R268,S2200,
,R2680,S221,
,R270,S2210,
,R278,S222,
,R290,S2220,
,R291,S223,
,R293,S2230,
,R296,S224,
,R298,S2240,
,R300,S225,
,R309,S2250,
,R31,S2280,
,R32,S231,
,R33,S241,
,R34,S242,
,R391,S270,
,R392,S271,
,R398,S2710,
,R400,S2711,
,R401,S272,
,R402,S2720,
,R410,S274,
,R411,S275,
,R413,S277,
,R418,S2781,
,R42,S280,
,R440,S297,
,R441,S298,
,R442,S300,
,R443,S301,
,R450,S320,
,R451,S3200,
,R452,S321,
,R453,S3210,
,R454,S322,
,R457,S3220,
,R460,S323,
,R462,S3230,
,R464,S324,
,R468,S3240,
,R470,S325,
,R4700,S3250,
,R4702,S327,
,R4703,S3270,
,R471,S3271,
,R478,S328,
,R480,S3280,
,R482,S330,
,R488,S331,
,R490,S334,
,R502,S341,
,R508,S342,
,R509,S343,
,R51,S360,
,R520,S361,
,R521,S364,
,R522,S3640,
,R529,S365,
,R53,S3650,
,R53+0,S370,
,R53+1,S3700,
,R53+2,S372,
,R54,S390,
,R54+0,S398,
,R54+8,S400,
,R55,S411,
,R568,S417,
,R570,S420,
,R571,S4200,
,R578,S4201,
,R579,S421,
,R58,S4210,
,R590,S422,
,R600,S4220,
,R601,S4221,
,R609,S423,
,R628,S4230,
,R629,S4231,
,R630,S424,
,R632,S4240,
,R633,S4241,
,R634,S427,
,R635,S4270,
,R64,S428,
,R688,S4280,
,R700,S429,
,R772,S4290,
,R824,S430,
,R91,S431,
,R938,S432,
,R960,S434,
,R961,S442,
,R99,S447,
,S001,S450,
,S002,S451,
,S004,S460,
,S007,S461,
,S008,S462,
,S010,S467,
,S011,S468,
,S012,S469,
,S017,S47+0,
,S018,S481,
,S020,S497,
,S021,S500,
,S0210,S507,
,S022,S517,
,S0220,S520,
,S023,S5200,
,S0230,S5201,
,S024,S521,
,S0240,S5210,
,S026,S5211,
,S027,S522,
,S028,S5220,
,S0280,S523,
,S051,S5230,
,S052,S5231,
,S056,S524,
,S057,S5240,
,S058,S5241,
,S059,S525,
,S060,S5250,
,S0600,S526,
,S0601,S5260,
,S061,S5261,
,S062,S527,
,S0620,S5270,
,S063,S5271,
,S0630,S528,
,S0631,S5280,
,S064,S529,
,S0640,S5290,
,S065,S531,
,S0650,S540,
,S0651,S541,
,S066,S548,
,S0660,S564,
,S067,S567,
,S0670,S570,
,S0671,S580,
,S068,S598,
,S0680,S609,
,S0681,S610,
,S069,S618,
,S0690,S620,
,S080,S6200,
,S090,S621,
,S097,S6210,
,S098,S622,
,S109,S6230,
,S120,S6231,
,S1200,S624,
,S121,S627,
,S1210,S6270,
,S122,S6271,
,S1220,S628,
,S127,S6280,
,S1270,S6281,
,S129,S630,
,S1290,S631,
,S131,S633,
,S134,S640,
,S141,S641,
,S143,S660,
,S145,S661,
,S150,S663,
,S202,S666,
,S204,S668,
,S207,S670,
,S208,S678,
,S210,S681,
,S218,S697,
,S220,S698,
,S2200,S700,
,S221,S701,
,S2210,S710,
,S222,S711,
,S2220,S720,
,S223,S7200,
,S2230,S7201,
,S224,S721,
,S2240,S7210,
,S225,S722,
,S2250,S7220,
,S228,S7221,
,S234,S723,
,S241,S7230,
,S270,S7231,
,S2700,S724,
,S271,S7240,
,S2710,S7241,
,S272,S727,
,S2720,S7270,
,S2721,S7271,
,S278,S728,
,S297,S7280,
,S298,S729,
,S300,S7290,
,S301,S7291,
,S302,S730,
,S307,S740,
,S310,S741,
,S311,S757,
,S320,S758,
,S3200,S759,
,S321,S761,
,S3210,S762,
,S322,S763,
,S3220,S764,
,S323,S771,
,S3230,S781,
,S324,S789,
,S3240,S797,
,S325,S798,
,S3250,S800,
,S327,S801,
,S3270,S809,
,S3271,S810,
,S328,S817,
,S3280,S818,
,S3281,S819,
,S331,S820,
,S332,S8200,
,S334,S8201,
,S335,S821,
,S336,S8210,
,S341,S8211,
,S342,S822,
,S343,S8220,
,S346,S8221,
,S359,S823,
,S360,S8230,
,S3600,S8231,
,S3611,S824,
,S363,S8240,
,S3640,S825,
,S370,S8250,
,S371,S8251,
,S376,S826,
,S382,S8260,
,S390,S8261,
,S397,S827,
,S398,S8270,
,S400,S8271,
,S409,S828,
,S411,S8280,
,S417,S8281,
,S418,S829,
,S420,S8290,
,S4200,S8291,
,S421,S830,
,S4210,S831,
,S422,S832,
,S4220,S833,
,S4221,S834,
,S423,S835,
,S4230,S836,
,S4231,S837,
,S424,S841,
,S4240,S848,
,S4241,S850,
,S427,S858,
,S4270,S860,
,S428,S861,
,S4280,S862,
,S429,S867,
,S4290,S868,
,S4291,S869,
,S430,S870,
,S431,S878,
,S434,S880,
,S440,S881,
,S442,S889,
,S443,S897,
,S447,S898,
,S450,S900,
,S460,S903,
,S461,S909,
,S467,S910,
