Diagnose,New_Representation,MajorCategory,Category_representation,Disease_group
ZAIGU,40000,MMP,4000,0
0,0,0,0,0
A00,1,A00,1,1
A000,2,A00,1,1
A001,3,A00,1,1
A009,4,A00,1,1
A01,5,A01,2,1
A010,6,A01,2,1
A011,7,A01,2,1
A012,8,A01,2,1
A013,9,A01,2,1
A014,10,A01,2,1
A02,11,A02,3,1
A020,12,A02,3,1
A021,13,A02,3,1
A022,14,A02,3,1
A028,15,A02,3,1
A029,16,A02,3,1
A03,17,A03,4,1
A030,18,A03,4,1
A031,19,A03,4,1
A032,20,A03,4,1
A033,21,A03,4,1
A038,22,A03,4,1
A039,23,A03,4,1
A04,24,A04,5,1
A040,25,A04,5,1
A041,26,A04,5,1
A042,27,A04,5,1
A043,28,A04,5,1
A044,29,A04,5,1
A045,30,A04,5,1
A046,31,A04,5,1
A047,32,A04,5,1
A048,33,A04,5,1
A049,34,A04,5,1
A05,35,A05,6,1
A050,36,A05,6,1
A051,37,A05,6,1
A052,38,A05,6,1
A053,39,A05,6,1
A054,40,A05,6,1
A058,41,A05,6,1
A059,42,A05,6,1
A06,43,A06,7,1
A060,44,A06,7,1
A061,45,A06,7,1
A062,46,A06,7,1
A063,47,A06,7,1
A064,48,A06,7,1
A065,49,A06,7,1
A066,50,A06,7,1
A067,51,A06,7,1
A068,52,A06,7,1
A069,53,A06,7,1
A07,54,A07,8,1
A070,55,A07,8,1
A071,56,A07,8,1
A072,57,A07,8,1
A073,58,A07,8,1
A078,59,A07,8,1
A079,60,A07,8,1
A08,61,A08,9,1
A080,62,A08,9,1
A081,63,A08,9,1
A082,64,A08,9,1
A083,65,A08,9,1
A084,66,A08,9,1
A085,67,A08,9,1
A09,68,A09,10,1
A090,69,A09,10,1
A099,70,A09,10,1
A15,71,A15,11,1
A150,72,A15,11,1
A151,73,A15,11,1
A152,74,A15,11,1
A153,75,A15,11,1
A154,76,A15,11,1
A155,77,A15,11,1
A156,78,A15,11,1
A157,79,A15,11,1
A158,80,A15,11,1
A159,81,A15,11,1
A16,82,A16,12,1
A160,83,A16,12,1
A161,84,A16,12,1
A162,85,A16,12,1
A163,86,A16,12,1
A164,87,A16,12,1
A165,88,A16,12,1
A167,89,A16,12,1
A168,90,A16,12,1
A169,91,A16,12,1
A17,92,A17,13,1
A170,93,A17,13,1
A171,94,A17,13,1
A178,95,A17,13,1
A179,96,A17,13,1
A18,97,A18,14,1
A180,98,A18,14,1
A181,99,A18,14,1
A182,100,A18,14,1
A183,101,A18,14,1
A184,102,A18,14,1
A185,103,A18,14,1
A186,104,A18,14,1
A187,105,A18,14,1
A188,106,A18,14,1
A19,107,A19,15,1
A190,108,A19,15,1
A191,109,A19,15,1
A192,110,A19,15,1
A198,111,A19,15,1
A199,112,A19,15,1
A20,113,A20,16,1
A200,114,A20,16,1
A201,115,A20,16,1
A202,116,A20,16,1
A203,117,A20,16,1
A207,118,A20,16,1
A208,119,A20,16,1
A209,120,A20,16,1
A21,121,A21,17,1
A210,122,A21,17,1
A211,123,A21,17,1
A212,124,A21,17,1
A213,125,A21,17,1
A217,126,A21,17,1
A218,127,A21,17,1
A219,128,A21,17,1
A22,129,A22,18,1
A220,130,A22,18,1
A221,131,A22,18,1
A222,132,A22,18,1
A227,133,A22,18,1
A228,134,A22,18,1
A229,135,A22,18,1
A23,136,A23,19,1
A230,137,A23,19,1
A231,138,A23,19,1
A232,139,A23,19,1
A233,140,A23,19,1
A238,141,A23,19,1
A239,142,A23,19,1
A24,143,A24,20,1
A240,144,A24,20,1
A241,145,A24,20,1
A242,146,A24,20,1
A243,147,A24,20,1
A244,148,A24,20,1
A25,149,A25,21,1
A250,150,A25,21,1
A251,151,A25,21,1
A259,152,A25,21,1
A26,153,A26,22,1
A260,154,A26,22,1
A267,155,A26,22,1
A268,156,A26,22,1
A269,157,A26,22,1
A27,158,A27,23,1
A270,159,A27,23,1
A278,160,A27,23,1
A279,161,A27,23,1
A28,162,A28,24,1
A280,163,A28,24,1
A281,164,A28,24,1
A282,165,A28,24,1
A288,166,A28,24,1
A289,167,A28,24,1
A30,168,A30,25,1
A300,169,A30,25,1
A301,170,A30,25,1
A302,171,A30,25,1
A303,172,A30,25,1
A304,173,A30,25,1
A305,174,A30,25,1
A308,175,A30,25,1
A309,176,A30,25,1
A31,177,A31,26,1
A310,178,A31,26,1
A311,179,A31,26,1
A318,180,A31,26,1
A319,181,A31,26,1
A32,182,A32,27,1
A320,183,A32,27,1
A321,184,A32,27,1
A327,185,A32,27,1
A328,186,A32,27,1
A329,187,A32,27,1
A33,188,A33,28,1
A34,189,A34,29,1
A35,190,A35,30,1
A36,191,A36,31,1
A360,192,A36,31,1
A361,193,A36,31,1
A362,194,A36,31,1
A363,195,A36,31,1
A368,196,A36,31,1
A369,197,A36,31,1
A37,198,A37,32,1
A370,199,A37,32,1
A371,200,A37,32,1
A378,201,A37,32,1
A379,202,A37,32,1
A38,203,A38,33,1
A39,204,A39,34,1
A390,205,A39,34,1
A391,206,A39,34,1
A392,207,A39,34,1
A393,208,A39,34,1
A394,209,A39,34,1
A395,210,A39,34,1
A398,211,A39,34,1
A399,212,A39,34,1
A40,213,A40,35,1
A400,214,A40,35,1
A401,215,A40,35,1
A402,216,A40,35,1
A403,217,A40,35,1
A408,218,A40,35,1
A409,219,A40,35,1
A41,220,A41,36,1
A410,221,A41,36,1
A411,222,A41,36,1
A412,223,A41,36,1
A413,224,A41,36,1
A414,225,A41,36,1
A415,226,A41,36,1
A418,227,A41,36,1
A419,228,A41,36,1
A42,229,A42,37,1
A420,230,A42,37,1
A421,231,A42,37,1
A422,232,A42,37,1
A427,233,A42,37,1
A428,234,A42,37,1
A429,235,A42,37,1
A43,236,A43,38,1
A430,237,A43,38,1
A431,238,A43,38,1
A438,239,A43,38,1
A439,240,A43,38,1
A44,241,A44,39,1
A440,242,A44,39,1
A441,243,A44,39,1
A448,244,A44,39,1
A449,245,A44,39,1
A46,246,A46,40,1
A48,247,A48,41,1
A480,248,A48,41,1
A481,249,A48,41,1
A482,250,A48,41,1
A483,251,A48,41,1
A484,252,A48,41,1
A488,253,A48,41,1
A49,254,A49,42,1
A490,255,A49,42,1
A491,256,A49,42,1
A492,257,A49,42,1
A493,258,A49,42,1
A498,259,A49,42,1
A499,260,A49,42,1
A50,261,A50,43,1
A500,262,A50,43,1
A501,263,A50,43,1
A502,264,A50,43,1
A503,265,A50,43,1
A504,266,A50,43,1
A505,267,A50,43,1
A506,268,A50,43,1
A507,269,A50,43,1
A509,270,A50,43,1
A51,271,A51,44,1
A510,272,A51,44,1
A511,273,A51,44,1
A512,274,A51,44,1
A513,275,A51,44,1
A514,276,A51,44,1
A515,277,A51,44,1
A519,278,A51,44,1
A52,279,A52,45,1
A520,280,A52,45,1
A521,281,A52,45,1
A522,282,A52,45,1
A523,283,A52,45,1
A527,284,A52,45,1
A528,285,A52,45,1
A529,286,A52,45,1
A53,287,A53,46,1
A530,288,A53,46,1
A539,289,A53,46,1
A54,290,A54,47,1
A540,291,A54,47,1
A541,292,A54,47,1
A542,293,A54,47,1
A543,294,A54,47,1
A544,295,A54,47,1
A545,296,A54,47,1
A546,297,A54,47,1
A548,298,A54,47,1
A549,299,A54,47,1
A55,300,A55,48,1
A56,301,A56,49,1
A560,302,A56,49,1
A561,303,A56,49,1
A562,304,A56,49,1
A563,305,A56,49,1
A564,306,A56,49,1
A568,307,A56,49,1
A57,308,A57,50,1
A58,309,A58,51,1
A59,310,A59,52,1
A590,311,A59,52,1
A598,312,A59,52,1
A599,313,A59,52,1
A60,314,A60,53,1
A600,315,A60,53,1
A601,316,A60,53,1
A609,317,A60,53,1
A63,318,A63,54,1
A630,319,A63,54,1
A6300,320,A63,54,1
A6308,321,A63,54,1
A638,322,A63,54,1
A64,323,A64,55,1
A65,324,A65,56,1
A66,325,A66,57,1
A660,326,A66,57,1
A661,327,A66,57,1
A662,328,A66,57,1
A663,329,A66,57,1
A664,330,A66,57,1
A665,331,A66,57,1
A666,332,A66,57,1
A667,333,A66,57,1
A668,334,A66,57,1
A669,335,A66,57,1
A67,336,A67,58,1
A670,337,A67,58,1
A671,338,A67,58,1
A672,339,A67,58,1
A673,340,A67,58,1
A679,341,A67,58,1
A68,342,A68,59,1
A680,343,A68,59,1
A681,344,A68,59,1
A689,345,A68,59,1
A69,346,A69,60,1
A690,347,A69,60,1
A691,348,A69,60,1
A692,349,A69,60,1
A698,350,A69,60,1
A699,351,A69,60,1
A70,352,A70,61,1
A71,353,A71,62,1
A710,354,A71,62,1
A711,355,A71,62,1
A719,356,A71,62,1
A74,357,A74,63,1
A740,358,A74,63,1
A748,359,A74,63,1
A749,360,A74,63,1
A75,361,A75,64,1
A750,362,A75,64,1
A751,363,A75,64,1
A752,364,A75,64,1
A753,365,A75,64,1
A759,366,A75,64,1
A77,367,A77,65,1
A770,368,A77,65,1
A771,369,A77,65,1
A772,370,A77,65,1
A773,371,A77,65,1
A778,372,A77,65,1
A779,373,A77,65,1
A78,374,A78,66,1
A79,375,A79,67,1
A790,376,A79,67,1
A791,377,A79,67,1
A798,378,A79,67,1
A799,379,A79,67,1
A80,380,A80,68,1
A800,381,A80,68,1
A801,382,A80,68,1
A802,383,A80,68,1
A803,384,A80,68,1
A804,385,A80,68,1
A809,386,A80,68,1
A81,387,A81,69,1
A810,388,A81,69,1
A811,389,A81,69,1
A812,390,A81,69,1
A818,391,A81,69,1
A819,392,A81,69,1
A82,393,A82,70,1
A820,394,A82,70,1
A821,395,A82,70,1
A829,396,A82,70,1
A83,397,A83,71,1
A830,398,A83,71,1
A831,399,A83,71,1
A832,400,A83,71,1
A833,401,A83,71,1
A834,402,A83,71,1
A835,403,A83,71,1
A836,404,A83,71,1
A838,405,A83,71,1
A839,406,A83,71,1
A84,407,A84,72,1
A840,408,A84,72,1
A841,409,A84,72,1
A848,410,A84,72,1
A849,411,A84,72,1
A85,412,A85,73,1
A850,413,A85,73,1
A851,414,A85,73,1
A852,415,A85,73,1
A858,416,A85,73,1
A86,417,A86,74,1
A87,418,A87,75,1
A870,419,A87,75,1
A871,420,A87,75,1
A872,421,A87,75,1
A878,422,A87,75,1
A879,423,A87,75,1
A88,424,A88,76,1
A880,425,A88,76,1
A881,426,A88,76,1
A888,427,A88,76,1
A89,428,A89,77,1
A90,429,A90,78,1
A91,430,A91,79,1
A92,431,A92,80,1
A920,432,A92,80,1
A921,433,A92,80,1
A922,434,A92,80,1
A923,435,A92,80,1
A924,436,A92,80,1
A928,437,A92,80,1
A929,438,A92,80,1
A93,439,A93,81,1
A930,440,A93,81,1
A931,441,A93,81,1
A932,442,A93,81,1
A938,443,A93,81,1
A94,444,A94,82,1
A95,445,A95,83,1
A950,446,A95,83,1
A951,447,A95,83,1
A959,448,A95,83,1
A96,449,A96,84,1
A960,450,A96,84,1
A961,451,A96,84,1
A962,452,A96,84,1
A968,453,A96,84,1
A969,454,A96,84,1
A98,455,A98,85,1
A980,456,A98,85,1
A981,457,A98,85,1
A982,458,A98,85,1
A983,459,A98,85,1
A984,460,A98,85,1
A985,461,A98,85,1
A988,462,A98,85,1
A99,463,A99,86,1
B00,464,B00,87,1
B000,465,B00,87,1
B001,466,B00,87,1
B002,467,B00,87,1
B003,468,B00,87,1
B004,469,B00,87,1
B005,470,B00,87,1
B007,471,B00,87,1
B008,472,B00,87,1
B009,473,B00,87,1
B01,474,B01,88,1
B010,475,B01,88,1
B011,476,B01,88,1
B012,477,B01,88,1
B018,478,B01,88,1
B019,479,B01,88,1
B02,480,B02,89,1
B020,481,B02,89,1
B021,482,B02,89,1
B022,483,B02,89,1
B023,484,B02,89,1
B027,485,B02,89,1
B028,486,B02,89,1
B029,487,B02,89,1
B03,488,B03,90,1
B04,489,B04,91,1
B05,490,B05,92,1
B050,491,B05,92,1
B051,492,B05,92,1
B052,493,B05,92,1
B053,494,B05,92,1
B054,495,B05,92,1
B058,496,B05,92,1
B059,497,B05,92,1
B06,498,B06,93,1
B060,499,B06,93,1
B068,500,B06,93,1
B069,501,B06,93,1
B07,502,B07,94,1
B08,503,B08,95,1
B080,504,B08,95,1
B081,505,B08,95,1
B082,506,B08,95,1
B083,507,B08,95,1
B084,508,B08,95,1
B085,509,B08,95,1
B088,510,B08,95,1
B09,511,B09,96,1
B15,512,B15,97,1
B150,513,B15,97,1
B159,514,B15,97,1
B16,515,B16,98,1
B160,516,B16,98,1
B161,517,B16,98,1
B162,518,B16,98,1
B169,519,B16,98,1
B17,520,B17,99,1
B170,521,B17,99,1
B171,522,B17,99,1
B172,523,B17,99,1
B178,524,B17,99,1
B179,525,B17,99,1
B18,526,B18,100,1
B180,527,B18,100,1
B181,528,B18,100,1
B182,529,B18,100,1
B188,530,B18,100,1
B189,531,B18,100,1
B19,532,B19,101,1
B190,533,B19,101,1
B199,534,B19,101,1
B20,535,B20,102,1
B200,536,B20,102,1
B201,537,B20,102,1
B202,538,B20,102,1
B203,539,B20,102,1
B204,540,B20,102,1
B205,541,B20,102,1
B206,542,B20,102,1
B207,543,B20,102,1
B208,544,B20,102,1
B209,545,B20,102,1
B21,546,B21,103,1
B210,547,B21,103,1
B211,548,B21,103,1
B212,549,B21,103,1
B213,550,B21,103,1
B217,551,B21,103,1
B218,552,B21,103,1
B219,553,B21,103,1
B22,554,B22,104,1
B220,555,B22,104,1
B221,556,B22,104,1
B222,557,B22,104,1
B227,558,B22,104,1
B23,559,B23,105,1
B230,560,B23,105,1
B231,561,B23,105,1
B232,562,B23,105,1
B238,563,B23,105,1
B24,564,B24,106,1
B24+0,565,B24,106,1
B24+1,566,B24,106,1
B24+9,567,B24,106,1
B25,568,B25,107,1
B250,569,B25,107,1
B251,570,B25,107,1
B252,571,B25,107,1
B258,572,B25,107,1
B259,573,B25,107,1
B26,574,B26,108,1
B260,575,B26,108,1
B261,576,B26,108,1
B262,577,B26,108,1
B263,578,B26,108,1
B268,579,B26,108,1
B269,580,B26,108,1
B27,581,B27,109,1
B270,582,B27,109,1
B271,583,B27,109,1
B278,584,B27,109,1
B279,585,B27,109,1
B30,586,B30,110,1
B300,587,B30,110,1
B301,588,B30,110,1
B302,589,B30,110,1
B303,590,B30,110,1
B308,591,B30,110,1
B309,592,B30,110,1
B33,593,B33,111,1
B330,594,B33,111,1
B331,595,B33,111,1
B332,596,B33,111,1
B333,597,B33,111,1
B334,598,B33,111,1
B338,599,B33,111,1
B34,600,B34,112,1
B340,601,B34,112,1
B341,602,B34,112,1
B342,603,B34,112,1
B343,604,B34,112,1
B344,605,B34,112,1
B348,606,B34,112,1
B349,607,B34,112,1
B35,608,B35,113,1
B350,609,B35,113,1
B351,610,B35,113,1
B352,611,B35,113,1
B353,612,B35,113,1
B354,613,B35,113,1
B355,614,B35,113,1
B356,615,B35,113,1
B358,616,B35,113,1
B359,617,B35,113,1
B36,618,B36,114,1
B360,619,B36,114,1
B361,620,B36,114,1
B362,621,B36,114,1
B363,622,B36,114,1
B368,623,B36,114,1
B369,624,B36,114,1
B37,625,B37,115,1
B370,626,B37,115,1
B371,627,B37,115,1
B372,628,B37,115,1
B373,629,B37,115,1
B374,630,B37,115,1
B375,631,B37,115,1
B376,632,B37,115,1
B377,633,B37,115,1
B378,634,B37,115,1
B379,635,B37,115,1
B38,636,B38,116,1
B380,637,B38,116,1
B381,638,B38,116,1
B382,639,B38,116,1
B383,640,B38,116,1
B384,641,B38,116,1
B387,642,B38,116,1
B388,643,B38,116,1
B389,644,B38,116,1
B39,645,B39,117,1
B390,646,B39,117,1
B391,647,B39,117,1
B392,648,B39,117,1
B393,649,B39,117,1
B394,650,B39,117,1
B395,651,B39,117,1
B399,652,B39,117,1
B40,653,B40,118,1
B400,654,B40,118,1
B401,655,B40,118,1
B402,656,B40,118,1
B403,657,B40,118,1
B407,658,B40,118,1
B408,659,B40,118,1
B409,660,B40,118,1
B41,661,B41,119,1
B410,662,B41,119,1
B417,663,B41,119,1
B418,664,B41,119,1
B419,665,B41,119,1
B42,666,B42,120,1
B420,667,B42,120,1
B421,668,B42,120,1
B427,669,B42,120,1
B428,670,B42,120,1
B429,671,B42,120,1
B43,672,B43,121,1
B430,673,B43,121,1
B431,674,B43,121,1
B432,675,B43,121,1
B438,676,B43,121,1
B439,677,B43,121,1
B44,678,B44,122,1
B440,679,B44,122,1
B441,680,B44,122,1
B442,681,B44,122,1
B447,682,B44,122,1
B448,683,B44,122,1
B449,684,B44,122,1
B45,685,B45,123,1
B450,686,B45,123,1
B451,687,B45,123,1
B452,688,B45,123,1
B453,689,B45,123,1
B457,690,B45,123,1
B458,691,B45,123,1
B459,692,B45,123,1
B46,693,B46,124,1
B460,694,B46,124,1
B461,695,B46,124,1
B462,696,B46,124,1
B463,697,B46,124,1
B464,698,B46,124,1
B465,699,B46,124,1
B468,700,B46,124,1
B469,701,B46,124,1
B47,702,B47,125,1
B470,703,B47,125,1
B471,704,B47,125,1
B479,705,B47,125,1
B48,706,B48,126,1
B480,707,B48,126,1
B481,708,B48,126,1
B482,709,B48,126,1
B483,710,B48,126,1
B484,711,B48,126,1
B487,712,B48,126,1
B488,713,B48,126,1
B49,714,B49,127,1
B50,715,B50,128,1
B500,716,B50,128,1
B508,717,B50,128,1
B509,718,B50,128,1
B51,719,B51,129,1
B510,720,B51,129,1
B518,721,B51,129,1
B519,722,B51,129,1
B52,723,B52,130,1
B520,724,B52,130,1
B528,725,B52,130,1
B529,726,B52,130,1
B53,727,B53,131,1
B530,728,B53,131,1
B531,729,B53,131,1
B538,730,B53,131,1
B54,731,B54,132,1
B55,732,B55,133,1
B550,733,B55,133,1
B551,734,B55,133,1
B552,735,B55,133,1
B559,736,B55,133,1
B56,737,B56,134,1
B560,738,B56,134,1
B561,739,B56,134,1
B569,740,B56,134,1
B57,741,B57,135,1
B570,742,B57,135,1
B571,743,B57,135,1
B572,744,B57,135,1
B573,745,B57,135,1
B574,746,B57,135,1
B575,747,B57,135,1
B58,748,B58,136,1
B580,749,B58,136,1
B581,750,B58,136,1
B582,751,B58,136,1
B583,752,B58,136,1
B588,753,B58,136,1
B589,754,B58,136,1
B59,755,B59,137,1
B60,756,B60,138,1
B600,757,B60,138,1
B601,758,B60,138,1
B602,759,B60,138,1
B608,760,B60,138,1
B6080,761,B60,138,1
B6088,762,B60,138,1
B64,763,B64,139,1
B65,764,B65,140,1
B650,765,B65,140,1
B651,766,B65,140,1
B652,767,B65,140,1
B653,768,B65,140,1
B658,769,B65,140,1
B659,770,B65,140,1
B66,771,B66,141,1
B660,772,B66,141,1
B661,773,B66,141,1
B662,774,B66,141,1
B663,775,B66,141,1
B664,776,B66,141,1
B665,777,B66,141,1
B668,778,B66,141,1
B669,779,B66,141,1
B67,780,B67,142,1
B670,781,B67,142,1
B671,782,B67,142,1
B672,783,B67,142,1
B673,784,B67,142,1
B674,785,B67,142,1
B675,786,B67,142,1
B676,787,B67,142,1
B677,788,B67,142,1
B678,789,B67,142,1
B679,790,B67,142,1
B68,791,B68,143,1
B680,792,B68,143,1
B681,793,B68,143,1
B689,794,B68,143,1
B69,795,B69,144,1
B690,796,B69,144,1
B691,797,B69,144,1
B698,798,B69,144,1
B699,799,B69,144,1
B70,800,B70,145,1
B700,801,B70,145,1
B701,802,B70,145,1
B71,803,B71,146,1
B710,804,B71,146,1
B711,805,B71,146,1
B718,806,B71,146,1
B719,807,B71,146,1
B72,808,B72,147,1
B73,809,B73,148,1
B74,810,B74,149,1
B740,811,B74,149,1
B741,812,B74,149,1
B742,813,B74,149,1
B743,814,B74,149,1
B744,815,B74,149,1
B748,816,B74,149,1
B749,817,B74,149,1
B75,818,B75,150,1
B76,819,B76,151,1
B760,820,B76,151,1
B761,821,B76,151,1
B768,822,B76,151,1
B769,823,B76,151,1
B77,824,B77,152,1
B770,825,B77,152,1
B778,826,B77,152,1
B779,827,B77,152,1
B78,828,B78,153,1
B780,829,B78,153,1
B781,830,B78,153,1
B787,831,B78,153,1
B789,832,B78,153,1
B79,833,B79,154,1
B80,834,B80,155,1
B81,835,B81,156,1
B810,836,B81,156,1
B811,837,B81,156,1
B812,838,B81,156,1
B813,839,B81,156,1
B814,840,B81,156,1
B818,841,B81,156,1
B82,842,B82,157,1
B820,843,B82,157,1
B829,844,B82,157,1
B83,845,B83,158,1
B830,846,B83,158,1
B831,847,B83,158,1
B832,848,B83,158,1
B833,849,B83,158,1
B834,850,B83,158,1
B838,851,B83,158,1
B839,852,B83,158,1
B85,853,B85,159,1
B850,854,B85,159,1
B851,855,B85,159,1
B852,856,B85,159,1
B853,857,B85,159,1
B854,858,B85,159,1
B86,859,B86,160,1
B87,860,B87,161,1
B870,861,B87,161,1
B871,862,B87,161,1
B872,863,B87,161,1
B873,864,B87,161,1
B874,865,B87,161,1
B878,866,B87,161,1
B879,867,B87,161,1
B88,868,B88,162,1
B880,869,B88,162,1
B881,870,B88,162,1
B882,871,B88,162,1
B883,872,B88,162,1
B888,873,B88,162,1
B889,874,B88,162,1
B89,875,B89,163,1
B90,876,B90,164,1
B900,877,B90,164,1
B901,878,B90,164,1
B902,879,B90,164,1
B908,880,B90,164,1
B909,881,B90,164,1
B91,882,B91,165,1
B92,883,B92,166,1
B94,884,B94,167,1
B940,885,B94,167,1
B941,886,B94,167,1
B942,887,B94,167,1
B948,888,B94,167,1
B949,889,B94,167,1
B95,890,B95,168,1
B950,891,B95,168,1
B951,892,B95,168,1
B952,893,B95,168,1
B953,894,B95,168,1
B954,895,B95,168,1
B955,896,B95,168,1
B956,897,B95,168,1
B957,898,B95,168,1
B958,899,B95,168,1
B96,900,B96,169,1
B960,901,B96,169,1
B961,902,B96,169,1
B962,903,B96,169,1
B963,904,B96,169,1
B964,905,B96,169,1
B965,906,B96,169,1
B966,907,B96,169,1
B967,908,B96,169,1
B968,909,B96,169,1
B97,910,B97,170,1
B970,911,B97,170,1
B971,912,B97,170,1
B972,913,B97,170,1
B973,914,B97,170,1
B974,915,B97,170,1
B975,916,B97,170,1
B976,917,B97,170,1
B977,918,B97,170,1
B978,919,B97,170,1
B98,920,B98,171,1
B980,921,B98,171,1
B981,922,B98,171,1
B99,923,B99,172,1
B99+0,924,B99,172,1
B99+1,925,B99,172,1
C00,926,C00,173,2
C000,927,C00,173,2
C001,928,C00,173,2
C002,929,C00,173,2
C003,930,C00,173,2
C004,931,C00,173,2
C005,932,C00,173,2
C006,933,C00,173,2
C008,934,C00,173,2
C009,935,C00,173,2
C01,936,C01,174,2
C02,937,C02,175,2
C020,938,C02,175,2
C021,939,C02,175,2
C022,940,C02,175,2
C023,941,C02,175,2
C024,942,C02,175,2
C028,943,C02,175,2
C029,944,C02,175,2
C03,945,C03,176,2
C030,946,C03,176,2
C031,947,C03,176,2
C039,948,C03,176,2
C04,949,C04,177,2
C040,950,C04,177,2
C041,951,C04,177,2
C048,952,C04,177,2
C049,953,C04,177,2
C05,954,C05,178,2
C050,955,C05,178,2
C051,956,C05,178,2
C052,957,C05,178,2
C058,958,C05,178,2
C059,959,C05,178,2
C06,960,C06,179,2
C060,961,C06,179,2
C061,962,C06,179,2
C062,963,C06,179,2
C068,964,C06,179,2
C069,965,C06,179,2
C07,966,C07,180,2
C08,967,C08,181,2
C080,968,C08,181,2
C081,969,C08,181,2
C088,970,C08,181,2
C089,971,C08,181,2
C09,972,C09,182,2
C090,973,C09,182,2
C091,974,C09,182,2
C098,975,C09,182,2
C099,976,C09,182,2
C10,977,C10,183,2
C100,978,C10,183,2
C101,979,C10,183,2
C102,980,C10,183,2
C103,981,C10,183,2
C104,982,C10,183,2
C108,983,C10,183,2
C109,984,C10,183,2
C11,985,C11,184,2
C110,986,C11,184,2
C111,987,C11,184,2
C112,988,C11,184,2
C113,989,C11,184,2
C118,990,C11,184,2
C119,991,C11,184,2
C12,992,C12,185,2
C13,993,C13,186,2
C130,994,C13,186,2
C131,995,C13,186,2
C132,996,C13,186,2
C138,997,C13,186,2
C139,998,C13,186,2
C14,999,C14,187,2
C140,1000,C14,187,2
C142,1001,C14,187,2
C148,1002,C14,187,2
C15,1003,C15,188,2
C150,1004,C15,188,2
C151,1005,C15,188,2
C152,1006,C15,188,2
C153,1007,C15,188,2
C154,1008,C15,188,2
C155,1009,C15,188,2
C158,1010,C15,188,2
C159,1011,C15,188,2
C16,1012,C16,189,2
C160,1013,C16,189,2
C161,1014,C16,189,2
C162,1015,C16,189,2
C163,1016,C16,189,2
C164,1017,C16,189,2
C165,1018,C16,189,2
C166,1019,C16,189,2
C168,1020,C16,189,2
C169,1021,C16,189,2
C169+0,1022,C16,189,2
C169+8,1023,C16,189,2
C17,1024,C17,190,2
C170,1025,C17,190,2
C171,1026,C17,190,2
C172,1027,C17,190,2
C173,1028,C17,190,2
C178,1029,C17,190,2
C179,1030,C17,190,2
C18,1031,C18,191,2
C180,1032,C18,191,2
C181,1033,C18,191,2
C182,1034,C18,191,2
C183,1035,C18,191,2
C184,1036,C18,191,2
C185,1037,C18,191,2
C186,1038,C18,191,2
C187,1039,C18,191,2
C188,1040,C18,191,2
C189,1041,C18,191,2
C189+0,1042,C18,191,2
C189+8,1043,C18,191,2
C19,1044,C19,192,2
C20,1045,C20,193,2
C21,1046,C21,194,2
C210,1047,C21,194,2
C211,1048,C21,194,2
C212,1049,C21,194,2
C218,1050,C21,194,2
C22,1051,C22,195,2
C220,1052,C22,195,2
C221,1053,C22,195,2
C222,1054,C22,195,2
C223,1055,C22,195,2
C224,1056,C22,195,2
C227,1057,C22,195,2
C229,1058,C22,195,2
C23,1059,C23,196,2
C24,1060,C24,197,2
C240,1061,C24,197,2
C241,1062,C24,197,2
C248,1063,C24,197,2
C249,1064,C24,197,2
C25,1065,C25,198,2
C250,1066,C25,198,2
C251,1067,C25,198,2
C252,1068,C25,198,2
C253,1069,C25,198,2
C254,1070,C25,198,2
C254+0,1071,C25,198,2
C254+8,1072,C25,198,2
C257,1073,C25,198,2
C258,1074,C25,198,2
C259,1075,C25,198,2
C259+0,1076,C25,198,2
C259+8,1077,C25,198,2
C26,1078,C26,199,2
C260,1079,C26,199,2
C261,1080,C26,199,2
C268,1081,C26,199,2
C269,1082,C26,199,2
C30,1083,C30,200,2
C300,1084,C30,200,2
C301,1085,C30,200,2
C31,1086,C31,201,2
C310,1087,C31,201,2
C311,1088,C31,201,2
C312,1089,C31,201,2
C313,1090,C31,201,2
C318,1091,C31,201,2
C319,1092,C31,201,2
C32,1093,C32,202,2
C320,1094,C32,202,2
C321,1095,C32,202,2
C322,1096,C32,202,2
C323,1097,C32,202,2
C328,1098,C32,202,2
C329,1099,C32,202,2
C33,1100,C33,203,2
C34,1101,C34,204,2
C340,1102,C34,204,2
C341,1103,C34,204,2
C342,1104,C34,204,2
C343,1105,C34,204,2
C348,1106,C34,204,2
C349,1107,C34,204,2
C37,1108,C37,205,2
C38,1109,C38,206,2
C380,1110,C38,206,2
C381,1111,C38,206,2
C382,1112,C38,206,2
C383,1113,C38,206,2
C384,1114,C38,206,2
C388,1115,C38,206,2
C39,1116,C39,207,2
C390,1117,C39,207,2
C398,1118,C39,207,2
C399,1119,C39,207,2
C40,1120,C40,208,2
C400,1121,C40,208,2
C401,1122,C40,208,2
C402,1123,C40,208,2
C403,1124,C40,208,2
C408,1125,C40,208,2
C409,1126,C40,208,2
C41,1127,C41,209,2
C410,1128,C41,209,2
C411,1129,C41,209,2
C412,1130,C41,209,2
C413,1131,C41,209,2
C414,1132,C41,209,2
C418,1133,C41,209,2
C419,1134,C41,209,2
C43,1135,C43,210,2
C430,1136,C43,210,2
C431,1137,C43,210,2
C432,1138,C43,210,2
C433,1139,C43,210,2
C434,1140,C43,210,2
C435,1141,C43,210,2
C436,1142,C43,210,2
C437,1143,C43,210,2
C438,1144,C43,210,2
C439,1145,C43,210,2
C44,1146,C44,211,2
